Duration,Pulse,Maxpulse,Calories,Date
60,110,130,409.1,24/01/01
60,117,145,479.0,24/01/02
60,103,135,340.0,24/01/03
45,109,175,282.4,24/01/04
45,117,148,406.0,24/01/05
60,102,127,300.0,24/01/06
60,110,136,374.0,NaT
45,104,134,253.3,24/01/08
30,109,133,195.1,24/01/09
60,98,124,269.0,24/01/10
60,103,147,329.3,NaT
60,100,120,250.7,24/01/12
60,106,128,345.3,24/01/13
60,104,132,379.3,24/01/14
60,98,123,275.0,NaT
60,98,120,215.2,24/01/16
60,100,120,300.0,24/01/17
45,90,112,,24/01/18
60,103,123,323.0,24/01/19
45,97,125,243.0,NaT
60,108,131,364.2,24/01/21
45,100,119,282.0,NaT
60,130,101,300.0,24/01/23
45,105,132,246.0,24/01/24
60,102,126,334.5,24/01/25
60,100,120,250.0,NaT
60,92,118,241.0,24/01/27
60,103,132,,24/01/28
60,100,132,280.0,24/01/29
60,102,129,380.3,24/01/30
60,92,115,243.0,24/01/31
45,90,112,180.1,NaT
60,101,124,299.0,24/02/02
60,93,113,223.0,NaT
60,107,136,361.0,24/02/04
60,114,140,415.0,24/02/05
60,102,127,300.0,24/02/06
60,100,120,300.0,NaT
60,100,120,300.0,24/02/08
45,104,129,266.0,NaT
45,90,112,180.1,24/02/10
60,98,126,286.0,24/02/11
60,100,122,329.4,NaT
60,111,138,400.0,24/02/13
60,111,131,397.0,24/02/14
60,99,119,273.0,NaT
60,109,153,387.6,24/02/16
45,111,136,300.0,24/02/17
45,108,129,298.0,NaT
60,111,139,397.6,24/02/19
60,107,136,380.2,NaT
80,123,146,643.1,24/02/21
60,106,130,263.0,24/02/22
60,118,151,486.0,NaT
30,136,175,238.0,24/02/24
60,121,146,450.7,24/02/25
60,118,121,413.0,NaT
45,115,144,305.0,24/02/27
20,153,172,226.4,24/02/28
45,123,152,321.0,24/02/29
210,108,160,1376.0,NaT
160,110,137,1034.4,24/03/02
160,109,135,853.0,NaT
45,118,141,341.0,24/03/04
20,110,130,131.4,24/03/05
180,90,130,800.4,NaT
150,105,135,873.4,24/03/07
150,107,130,816.0,NaT
20,106,136,110.4,24/03/09
300,108,143,1500.2,24/03/10
150,97,129,1115.0,NaT
60,109,153,387.6,24/03/12
90,100,127,700.0,NaT
150,97,127,953.2,24/03/14
45,114,146,304.0,NaT
90,98,125,563.2,24/03/16
45,105,134,251.0,24/03/17
45,110,141,300.0,NaT
120,100,130,500.4,24/03/19
270,100,131,1729.0,24/03/20
30,159,182,319.2,NaT
45,149,169,344.0,24/03/22
30,103,139,151.1,24/03/23
120,100,130,500.0,NaT
45,100,120,225.3,24/03/25
30,151,170,300.0,NaT
45,102,136,234.0,24/03/27
120,100,157,1000.1,NaT
45,129,103,242.0,24/03/29
20,83,107,50.3,NaT
180,101,127,600.1,24/03/31
45,107,137,,NaT
30,90,107,105.3,24/04/02
15,80,100,50.5,NaT
20,150,171,127.4,24/04/04
20,151,168,229.4,24/04/05
30,95,128,128.2,NaT
25,152,168,244.2,24/04/07
30,109,131,188.2,NaT
90,93,124,604.1,24/04/09
20,95,112,77.7,NaT
90,90,110,500.0,24/04/11
90,90,100,500.0,NaT
90,90,100,500.4,24/04/13
30,92,108,92.7,NaT
30,93,128,124.0,24/04/15
180,90,120,800.3,NaT
30,90,120,86.2,24/04/17
90,90,120,500.3,NaT
210,137,184,1860.4,24/04/19
60,102,124,325.2,NaT
45,107,124,275.0,24/04/21
15,124,139,124.2,NaT
45,100,120,225.3,24/04/23
60,108,131,367.6,24/04/24
60,108,151,351.7,NaT
60,116,141,443.0,24/04/26
60,97,122,277.4,NaT
60,105,125,,24/04/28
60,103,124,332.7,NaT
30,112,137,193.9,24/04/30
45,100,120,100.7,NaT
60,119,169,336.7,24/05/02
60,107,127,344.9,NaT
60,111,151,368.5,24/05/04
60,98,122,271.0,NaT
60,97,124,275.3,24/05/06
60,109,127,382.0,NaT
90,99,125,466.4,24/05/08
60,114,151,384.0,NaT
60,104,134,342.5,24/05/10
60,107,138,357.5,NaT
60,103,133,335.0,24/05/12
60,106,132,327.5,NaT
60,103,136,339.0,NaT